1000 2537 
415 961 3638 
415 902 4022 
415 19 1966 
415 921 5516 
415 41 3501 
415 913 3766 
415 281 5458 
415 589 5251 
415 251 6939 
415 157 2755 
961 192 956 
961 849 3129 
961 125 8108 
961 344 1885 
961 850 689 
961 80 6297 
961 230 6213 
961 716 2915 
961 79 8514 
902 183 8789 
902 446 743 
902 202 1720 
902 7 1666 
902 127 5581 
192 342 8835 
192 163 779 
192 179 3868 
192 294 2750 
192 508 833 
192 247 6319 
192 24 4666 
192 875 9660 
849 595 7781 
849 390 8994 
849 224 5134 
849 421 4484 
849 906 411 
849 476 8699 
849 462 1787 
849 228 9072 
19 674 3805 
19 304 6538 
19 69 6256 
19 364 1582 
19 639 6458 
19 570 6012 
19 708 6646 
19 255 3465 
19 522 7032 
595 213 1770 
595 955 98 
595 443 1325 
595 238 3182 
595 970 5020 
125 203 1782 
125 665 85 
125 483 9846 
125 601 4773 
125 222 570 
125 362 7902 
213 536 6504 
213 424 136 
213 866 7908 
213 564 1509 
213 294 1039 
213 581 9193 
213 174 1761 
213 588 1375 
674 328 9743 
674 268 8691 
674 694 8774 
674 680 1826 
344 706 126 
344 352 3865 
344 321 3637 
344 872 7477 
344 724 9798 
203 616 6134 
203 107 8937 
203 166 8078 
203 436 4540 
203 737 387 
665 644 2581 
665 248 4312 
665 278 8939 
665 543 7026 
665 470 1830 
304 637 9248 
304 532 6203 
304 86 9889 
304 91 487 
304 456 2540 
304 919 3389 
304 841 9563 
850 307 3311 
850 285 8770 
850 81 5564 
850 869 5208 
850 466 9638 
955 693 608 
955 218 7959 
536 136 3186 
536 541 1044 
536 100 5224 
616 880 7695 
616 767 2331 
616 386 1277 
616 378 8033 
616 144 4240 
616 369 892 
616 434 6839 
616 431 4146 
136 203 4881 
136 25 7215 
136 874 1090 
136 93 1275 
136 458 2760 
136 126 8827 
136 650 9905 
880 338 6132 
880 84 9960 
880 577 8811 
880 890 1756 
880 63 3375 
880 750 9146 
328 25 2206 
328 630 3775 
328 602 8747 
328 777 5829 
328 368 7196 
328 211 3415 
307 345 8882 
307 942 6688 
307 726 3715 
307 950 1057 
307 888 9116 
921 644 138 
921 72 1765 
921 511 201 
921 157 7744 
424 578 9187 
424 733 5561 
424 860 7010 
424 524 6267 
424 917 739 
424 945 7996 
390 943 2824 
390 285 3135 
390 56 6552 
390 215 2432 
390 627 5281 
390 662 880 
390 300 5032 
390 204 654 
390 140 2737 
338 331 6802 
338 530 4430 
338 604 2954 
338 659 883 
578 352 3621 
578 893 3348 
578 927 256 
578 269 9375 
342 561 5195 
342 50 6594 
342 658 6659 
342 823 2014 
342 159 4312 
342 89 4597 
342 904 8258 
342 754 5061 
342 588 7248 
767 740 1122 
767 507 9619 
767 246 1915 
767 567 4969 
767 365 8551 
733 941 1698 
733 589 399 
345 150 5966 
345 510 6595 
345 671 9714 
345 410 6645 
345 535 1910 
345 532 4275 
345 205 9567 
644 18 6900 
644 802 1756 
644 80 5978 
644 914 2978 
644 560 9377 
644 529 3653 
224 26 6837 
331 46 7801 
331 862 789 
331 834 3767 
942 23 3464 
942 597 4286 
942 919 4761 
942 999 1057 
943 159 5614 
943 4 9097 
943 851 4945 
69 482 5082 
69 547 2318 
69 711 9967 
561 102 8320 
561 553 7151 
561 538 5166 
561 317 2793 
561 198 5628 
561 581 1858 
561 944 1169 
561 161 4958 
561 859 2930 
561 809 6410 
150 587 4833 
150 188 3219 
150 853 8856 
150 672 -43 
706 830 4645 
706 343 2970 
706 457 424 
706 173 6905 
706 326 858 
706 634 5500 
